"GoalsScored","By","Against","HomeAway"
1,"Sunderland","Norwich","Home"
0,"Tottenham","Fulham","Home"
2,"Wigan","Newcastle","Home"
4,"Arsenal","Reading","Home"
1,"Everton","Stoke","Home"
4,"Man City","Newcastle","Home"
2,"Southampton","Chelsea","Home"
0,"Sunderland","Man United","Home"
1,"Swansea","Tottenham","Home"
3,"West Ham","West Brom","Home"
1,"Wigan","Norwich","Home"
1,"Aston Villa","Liverpool","Home"
3,"Fulham","QPR","Home"
2,"Norwich","Swansea","Home"
0,"Reading","Southampton","Home"
1,"Stoke","Aston Villa","Home"
1,"West Brom","Arsenal","Home"
2,"Chelsea","Sunderland","Home"
0,"Liverpool","West Ham","Home"
1,"Newcastle","Fulham","Home"
1,"QPR","Wigan","Home"
2,"Tottenham","Everton","Home"
1,"Man United","Man City","Home"
3,"Arsenal","Norwich","Home"
1,"Aston Villa","Fulham","Home"
2,"Everton","QPR","Home"
0,"Reading","Liverpool","Home"
1,"Southampton","West Ham","Home"
0,"Newcastle","Sunderland","Home"
0,"Stoke","Man United","Home"
0,"Arsenal","Everton","Home"
0,"Fulham","Chelsea","Home"
1,"Man City","Wigan","Home"
2,"West Ham","Man United","Home"
0,"Fulham","Arsenal","Home"
2,"Norwich","Reading","Home"
0,"QPR","Stoke","Home"
1,"Sunderland","Everton","Home"
0,"Swansea","Southampton","Home"
1,"West Brom","Newcastle","Home"
2,"West Ham","Wigan","Home"
2,"Liverpool","Chelsea","Home"
3,"Tottenham","Man City","Home"
3,"Man United","Aston Villa","Home"
1,"Everton","Fulham","Home"
2,"Man City","West Ham","Home"
0,"Newcastle","Liverpool","Home"
0,"Southampton","West Brom","Home"
1,"Stoke","Norwich","Home"
2,"Wigan","Tottenham","Home"
1,"Arsenal","Man United","Home"
2,"Chelsea","Swansea","Home"
0,"Reading","QPR","Home"
6,"Aston Villa","Sunderland","Home"
2,"Fulham","Reading","Home"
1,"Norwich","Aston Villa","Home"
0,"QPR","Arsenal","Home"
0,"Swansea","Man City","Home"
1,"Tottenham","Southampton","Home"
2,"West Brom","Wigan","Home"
0,"West Ham","Newcastle","Home"
0,"Liverpool","Everton","Home"
0,"Man United","Chelsea","Home"
1,"Sunderland","Stoke","Home"
1,"Man City","West Brom","Home"
2,"Wigan","Swansea","Home"
2,"Chelsea","Tottenham","Home"
1,"Aston Villa","Chelsea","Home"
2,"Everton","West Ham","Home"
1,"Fulham","Liverpool","Home"
2,"Man United","Swansea","Home"
4,"Norwich","West Brom","Home"
1,"QPR","Newcastle","Home"
1,"Stoke","Tottenham","Home"
1,"Sunderland","Southampton","Home"
4,"Arsenal","Wigan","Home"
0,"Reading","Man City","Home"
2,"Chelsea","Everton","Home"
1,"Liverpool","QPR","Home"
2,"Man City","Norwich","Home"
0,"Newcastle","Arsenal","Home"
1,"Southampton","Stoke","Home"
0,"Swansea","Fulham","Home"
1,"Tottenham","Sunderland","Home"
5,"West Brom","Man United","Home"
4,"West Ham","Reading","Home"
2,"Wigan","Aston Villa","Home"
0,"Sunderland","Arsenal","Away"
0,"Norwich","Fulham","Away"
1,"Tottenham","Newcastle","Away"
5,"Swansea","QPR","Away"
1,"Stoke","Reading","Away"
0,"Liverpool","West Brom","Away"
0,"Aston Villa","West Ham","Away"
2,"Southampton","Man City","Away"
2,"Chelsea","Wigan","Away"
0,"Man United","Everton","Away"
2,"Reading","Chelsea","Away"
3,"Everton","Aston Villa","Away"
0,"Newcastle","Chelsea","Away"
2,"Fulham","Man United","Away"
1,"QPR","Norwich","Away"
2,"Wigan","Southampton","Away"
0,"West Ham","Swansea","Away"
1,"West Brom","Tottenham","Away"
2,"Man City","Liverpool","Away"
0,"Arsenal","Stoke","Away"
1,"QPR","Man City","Away"
2,"Sunderland","Swansea","Away"
1,"Norwich","Tottenham","Away"
0,"Everton","West Brom","Away"
0,"Fulham","West Ham","Away"
2,"Stoke","Wigan","Away"
2,"Arsenal","Liverpool","Away"
1,"Aston Villa","Newcastle","Away"
3,"Man United","Southampton","Away"
1,"Southampton","Arsenal","Away"
0,"Swansea","Aston Villa","Away"
0,"West Brom","Fulham","Away"
0,"Wigan","Man United","Away"
0,"West Ham","Norwich","Away"
0,"Chelsea","QPR","Away"
1,"Man City","Stoke","Away"
1,"Liverpool","Sunderland","Away"
3,"Tottenham","Reading","Away"
2,"Newcastle","Everton","Away"
0,"Stoke","Chelsea","Away"
1,"Aston Villa","Southampton","Away"
3,"Everton","Swansea","Away"
0,"Reading","West Brom","Away"
1,"Sunderland","West Ham","Away"
2,"Fulham","Wigan","Away"
2,"Man United","Liverpool","Away"
1,"Arsenal","Man City","Away"
0,"Norwich","Newcastle","Away"
1,"QPR","Tottenham","Away"
2,"Chelsea","Arsenal","Away"
1,"Southampton","Everton","Away"
2,"Man City","Fulham","Away"
3,"Tottenham","Man United","Away"
5,"Liverpool","Norwich","Away"
2,"Newcastle","Reading","Away"
0,"Swansea","Stoke","Away"
0,"Wigan","Sunderland","Away"
1,"West Brom","Aston Villa","Away"
2,"West Ham","QPR","Away"
1,"Norwich","Chelsea","Away"
0,"Sunderland","Man City","Away"
2,"Reading","Swansea","Away"
2,"QPR","West Brom","Away"
3,"Arsenal","West Ham","Away"
2,"Everton","Wigan","Away"
0,"Stoke","Liverpool","Away"
3,"Man United","Newcastle","Away"
2,"Fulham","Southampton","Away"
0,"Aston Villa","Tottenham","Away"
0,"Aston Villa","Fulham","Away"
0,"Reading","Liverpool","Away"
2,"Stoke","Man United","Away"
0,"Arsenal","Norwich","Away"
1,"Wigan","Swansea","Away"
4,"Chelsea","Tottenham","Away"
2,"Man City","West Brom","Away"
